timestamp_sec,latitude_deg,longitude_deg,altitude_m,heading_deg,speed_ms,pitch_deg,roll_deg,yaw_rate_dps,mission_phase,waypoint_reached,active_failures
0.1,47.671,9.51152,0,90,15,0,0,0,cruise,0,
0.2,47.671,9.51154,0,90,15,0,0,0,cruise,0,
0.3,47.671,9.51156,0,90,15,0,0,0,cruise,0,
0.4,47.671,9.51158,0,90,15,0,0,0,cruise,0,
0.5,47.671,9.5116,0,90,15,0,0,0,cruise,0,
0.6,47.671,9.51162,0,90,15,0,0,0,cruise,0,
0.7,47.671,9.51164,0,90,15,0,0,0,cruise,0,
0.8,47.671,9.51166,0,90,15,0,0,0,cruise,0,
0.9,47.671,9.51168,0,90,15,0,0,0,cruise,0,
1,47.671,9.5117,0,90,15,0,0,0,cruise,0,
1.1,47.671,9.51172,0,90,15,0,0,0,cruise,0,
1.2,47.671,9.51174,0,90,15,0,0,0,cruise,0,
1.3,47.671,9.51176,0,90,15,0,0,0,cruise,0,
1.4,47.671,9.51178,0,90,15,0,0,0,cruise,0,
1.5,47.671,9.5118,0,90,15,0,0,0,cruise,0,
1.6,47.671,9.51182,0,90,15,0,0,0,cruise,0,
1.7,47.671,9.51184,0,90,15,0,0,0,cruise,0,
1.8,47.671,9.51186,0,90,15,0,0,0,cruise,0,
1.9,47.671,9.51188,0,90,15,0,0,0,cruise,0,
2,47.671,9.5119,0,90,15,0,0,0,cruise,0,
2.1,47.671,9.51192,0,90,15,0,0,0,cruise,0,
2.2,47.671,9.51194,0,90,15,0,0,0,cruise,0,
2.3,47.671,9.51196,0,90,15,0,0,0,cruise,0,
2.4,47.671,9.51198,0,90,15,0,0,0,cruise,0,
2.5,47.671,9.512,0,90,15,0,0,0,cruise,0,
2.6,47.671,9.51202,0,90,15,0,0,0,cruise,0,
2.7,47.671,9.51204,0,90,15,0,0,0,cruise,0,
2.8,47.671,9.51206,0,90,15,0,0,0,cruise,0,
2.9,47.671,9.51208,0,90,15,0,0,0,cruise,0,
3,47.671,9.5121,0,90,15,0,0,0,cruise,0,
3.1,47.671,9.51212,0,90,15,0,0,0,cruise,0,
3.2,47.671,9.51214,0,90,15,0,0,0,cruise,0,
3.3,47.671,9.51216,0,90,15,0,0,0,cruise,0,
3.4,47.671,9.51218,0,90,15,0,0,0,cruise,0,
3.5,47.671,9.5122,0,90,15,0,0,0,cruise,0,
3.6,47.671,9.51222,0,90,15,0,0,0,cruise,0,
3.7,47.671,9.51224,0,90,15,0,0,0,cruise,0,
3.8,47.671,9.51226,0,90,15,0,0,0,cruise,0,
3.9,47.671,9.51228,0,90,15,0,0,0,cruise,0,
4,47.671,9.5123,0,90,15,0,0,0,cruise,0,
